source,destination,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
MADURAI  230 kV SS,Salem 400,Madurai 230,Trichy,Erode,salem 230,Salem 400,,,,,,,,,,,,,,,,
CUDDALORE  230 kV SS,SALEM 400,Salem 400,Neyvely TS II,NLY TS I,Cuddalore 230 SS,,,,,,,,,,,,,,,,,
CUDDALORE  230 kV SS,Villupuram 230 SS,Salem 400,Neyvely TS II,NLY TS I,Cuddalore 230 SS,Villupuram 230 SS.,,,,,,,,,,,,,,,,
CHENNAI,SALEM 400 - Bangalore,MAIN: Chennai MLDC,Sriperumbudur,Trichy,Madurai 230,Madurai 400,Udumalpet,Salem 230,Salem 400,Bangalore,,,,,,,,,,,,
CHENNAI,SALEM 400 - Bangalore,Protection: Chennai MLDC,Sriperumbudur,Trichy,Erode,Salem 230,Salem 400,Bangalore,,,,,,,,,,,,,,
CHENNAI,Salem 400,Chennai MLDC,Sriperumbudur,Trichy,Erode,Salem 230,Salem 400,Bangalore,,,,,,,,,,,,,,
CHENNAI,Bangalore,"SRLDC,Bengaluru",PGCIL Fibre Network,Checkkanoorani PG,230 KV Checkkanoorani,230 KV Madurai,230 KV Trichy,230 KV Sriperumpudur,"MCC,Chennai",,,,,,,,,,,,,
CHENNAI,Bangalore,Chennai MLDC,Sriperumbudur,Trichy,Madurai 230,Bangalore,,,,,,,,,,,,,,,,
CHENNAI,Bangalore,Chennai,Kalivanthapatu,Pugalur,Erode,Salem 230,Salem 400,Bangalore,,,,,,,,,,,,,,
THIRUVALAM 230 kV SS,230KV CHITTOOR,230KV CHITTOOR,,,,,,,,,,,,,,,,,,,,
UDUMALPET 230 kV SS,IDUKKI ( KSEB),UDUMALPET,IDUKKI,,,,,,,,,,,,,,,,,,,
Sub-LDC/Erode,Chennai(E1),Erode,Trichy,sriperambudur,Chennai,,,,,,,,,,,,,,,,,
Sub-LDC/Erode,Chennai(E1),Erode,Pugalur230,Pugalur400,Alagapuram repeater,Kalivanthapattu,Chennai,,,,,,,,,,,,,,,
Gummidipoondi 230 kV SS,Sulurpet 230 KV SS ( AP),GPD 230,Sulurpet 230 (PLCC) 180/184 KH.,,,,,,,,,,,,,,,,,,,
Kalivanthapattu PGCIL,Kadaperi 230KV SS,Kalivanthapattu,Kadaperi,,,,,,,,,,,,,,,,,,,
Kalivanthapattu PGCIL,Pugalur Link via Alagapuram,Kalivanthapattu,Pugalur,,,,,,,,,,,,,,,,,,,
Kadaperi 230KV SS,Porur 230KV SS,Kadaperi,Porur,,,,,,,,,,,,,,,,,,,
Alamathy  400 kV SS,Mosur 230 KV SS,Alamathy 400,Mosur 230 KV SS  through PLCC link ( 296/316 KHZ),,,,,,,,,,,,,,,,,,,
BCC Madurai,NR DELHI,Madurai,PG Network,NR DELHI,,,,,,,,,,,,,,,,,,
MADURAI 230 KV SS,Kolar,"Madurai 230,Trichy230",Erode,Salem230,"Salem PG, Hosur PG, Kolar",,,,,,,,,,,,,,,,,
KARAIKUDI 230 kV SS,Kolar,"Karaikudi 230,Karaikudi PG, Trichy PG,Nagapattinam PG,Dharmapuri PG,Salem PG,Hosur PG, Kolar",,,,,,,,,,,,,,,,,,,,
CHENNAI,Bangalore,Chennai MLDC,Sriperumbudur,Trichy,Madurai 230,Bangalore,,,,,,,,,,,,,,,,
CHENNAI,Bangalore,Chennai,"Sriperumpudur,SPKoil,Villupuram,Neyveli TS1,Neyveli TS2",Bangalore,,,,,,,,,,,,,,,,,,
TSSLDC,SRLDC,Main path: Vidyut Soudha,Ghanapur,Mamidipally,Srisailam LBPH(TSTRANSCO),Kurnool 400 KV,Somayajulapally,Gooy,Ananthapur,Muddanur,Chinakampally(APTRANSCO NW),Kadapa400,through PGCIL NW,SRLDC            Alternate path: Vidyut Soudha,Shapur Nagar,Ghanapur,Mamidipally,Maheswaram,Mahabubnagar400 KV(TSTRANSCO),Raichur 400 KV,through PGCIL NW,SRLDC
TSSLDC,SRLDC,Main path: Vidyut Soudha,Ghanapur,Mamidipally,Srisailam LBPH(TSTRANSCO),Kurnool 400 KV,Somayajulapally,Gooy,Ananthapur,Muddanur,Chinakampally(APTRANSCO NW),Kadapa400,through PGCIL NW,SRLDC            Alternate path: Vidyut Soudha,Shapur Nagar,Ghanapur,Mamidipally,Maheswaram,Mahabubnagar400 KV(TSTRANSCO),Raichur 400 KV,through PGCIL NW,SRLDC
TSSLDC,SRLDC,Vidyut Soudha,Shapur Nagar,Ghanapur,Mamidipally,Maheswaram,Mahabubnagar400 KV(TSTRANSCO),Raichur 400 KV,through PGCIL NW,SRLDC,,,,,,,,,,,,
TSSLDC,SRLDC,Main path: Vidyut Soudha,Ghanapur,Mamidipally,Srisailam LBPH(TSTRANSCO),Kurnool 400 KV,Somayajulapally,Gooy,Ananthapur,Muddanur,Chinakampally(APTRANSCO NW),Kadapa400,through PGCIL NW,SRLDC            Alternate path: Vidyut Soudha,Shapur Nagar,Ghanapur,Mamidipally,Maheswaram,Mahabubnagar400 KV(TSTRANSCO),Raichur 400 KV,through PGCIL NW,SRLDC
TSSLDC,SRLDC,Main path: Vidyut Soudha,Ghanapur,Mamidipally,Srisailam LBPH(TSTRANSCO),Kurnool 400 KV,Somayajulapally,Gooy,Ananthapur,Muddanur,Chinakampally(APTRANSCO NW),Kadapa400,through PGCIL NW,SRLDC            Alternate path: Vidyut Soudha,Shapur Nagar,Ghanapur,Mamidipally,Maheswaram,Mahabubnagar400 KV(TSTRANSCO),Raichur 400 KV,through PGCIL NW,SRLDC
TSSLDC,SRLDC,Main path: Vidyut Soudha,Ghanapur,Mamidipally,Srisailam LBPH(TSTRANSCO),Kurnool 400 KV,Somayajulapally,Gooy,Ananthapur,Muddanur,Chinakampally(APTRANSCO NW),Kadapa400,through PGCIL NW,SRLDC            Alternate path: Vidyut Soudha,Shapur Nagar,Ghanapur,Mamidipally,Maheswaram,Mahabubnagar400 KV(TSTRANSCO),Raichur 400 KV,through PGCIL NW,SRLDC
TSSLDC,SRLDC,Alternate path: Vidyut Soudha,Shapur Nagar,Ghanapur,Mamidipally,Maheswaram,Mahabubnagar400 KV(TSTRANSCO),Raichur 400 KV,through PGCIL NW,SRLDC,,,,,,,,,,,,
KOLAR,BUDIDAMPAD,Budidampad,Suryapet,Malkaram,Ghanapur,Mamidipally,Srisailam LBPH,Kurnool400 KV,Kuurnool765,(PGCIL NW),Kolar,,,,,,,,,,,
KOLAR,RAMAGUNDAM,Ramagundamm,Jagityal,Nirmal 220KV,Nirmal400KV,Sundilla,Jaipur,Ramadugu,Gajwel,Shankarpally,Kethireddypally,Mamidipally,Srisailam LBPH,Kurnool400 KV,Kuurnool765,(PGCIL NW),Kolar,,,,,
KOALAR,MAHABUB NAGAR 400 KV,Mahabub Nagar 400KV(Veltore),Nagarjuna Sagar PG,Tallapally(AP),Srisailam RBPH(AP),Sriisailam LBPH,Mamidipally,Srisailam LBPH,Kurnool400 KV,Kuurnool765,(PGCIL NW),Kolar,,,,,,,,,,
KOLAR,400 KV GAJWEL,Gajwel,Shankarpally,Kethireddypally,Mamidipally,Srisailam LBPH,Kurnool400 KV,Kuurnool765,(PGCIL NW),Kolar,,,,,,,,,,,,
SRISAILAM LBPH,SATTENAPALLY,Srisailam LBPH,Sattenapally,,,,,,,,,,,,,,,,,,,
SRISAILAM LBPH,SATTENAPALLY,Srisailam LBPH,Sattenapally,,,,,,,,,,,,,,,,,,,
SRISAILAM LBPH,SATTENAPALLY,Srisailam LBPH,Sattenapally,,,,,,,,,,,,,,,,,,,
SRISAILAM LBPH,KURNOOL 400 KV,Srisailam LBPH,Kurnool 400 KV,,,,,,,,,,,,,,,,,,,
SRISAILAM LBPH,KURNOOL 400 KV,Srisailam LBPH,Kurnool 400 KV,,,,,,,,,,,,,,,,,,,
SRISAILAM LBPH,KURNOOL 400 KV,Srisailam LBPH,Kurnool 400 KV,,,,,,,,,,,,,,,,,,,
DINDI400 KV,SRISAILAM RBPH,Dindi 400 KV,Srisailam RBPH,,,,,,,,,,,,,,,,,,,
DINDI400 KV,SRISAILAM RBPH,Dindi 400 KV,Srisailam RBPH,,,,,,,,,,,,,,,,,,,
DOMALAPENTA,SRISAILAM RBPH,Domalapenta,Srisailam RBPH,,,,,,,,,,,,,,,,,,,
DOMALAPENTA,SRISAILAM RBPH,Domalapenta,Srisailam RBPH,,,,,,,,,,,,,,,,,,,
ASUPAKA 400 KV,LOWER SILERU 220 KV,Asupaka 400 KV,Lower Sileru,,,,,,,,,,,,,,,,,,,
ASUPAKA 400 KV,LOWER SILERU 220 KV,Asupaka 400 KV,Lower Sileru,,,,,,,,,,,,,,,,,,,
VELTORE 400 KV,URAVAKONDA,Veltore 400 Kv,Uravakonda,,,,,,,,,,,,,,,,,,,
VELTORE 400 KV,URAVAKONDA,Veltore 400 Kv,Uravakonda,,,,,,,,,,,,,,,,,,,
VELTORE 400 KV,URAVAKONDA,Veltore 400 Kv,Uravakonda,,,,,,,,,,,,,,,,,,,
VELTORE 400 KV,NAGARJUNASAGAR PG,Veltore 400 Kv,Nagarjuna Sagar PG,,,,,,,,,,,,,,,,,,,
VELTORE 400 KV,NAGARJUNASAGAR PG,Veltore 400 Kv,Nagarjuna Sagar PG,,,,,,,,,,,,,,,,,,,
VELTORE 400 KV,NAGARJUNASAGAR PG,Veltore 400 Kv,Nagarjuna Sagar PG,,,,,,,,,,,,,,,,,,,
VELTORE 400 KV,RAICHUR,Veltore 400 Kv,Raichur PG,,,,,,,,,,,,,,,,,,,
VELTORE 400 KV,RAICHUR,Veltore 400 Kv,Raichur PG,,,,,,,,,,,,,,,,,,,
VELTORE 400 KV,RAICHUR,Veltore 400 Kv,Raichur PG,,,,,,,,,,,,,,,,,,,
SURYAPET 400 KV,CHILLAKALLU,Suryapet,Chillakallu,,,,,,,,,,,,,,,,,,,
SURYAPET 400 KV,CHILLAKALLU,Suryapet,Chillakallu,,,,,,,,,,,,,,,,,,,
SURYAPET 400 KV,KV KOTA,Suryapet,KV Kota,,,,,,,,,,,,,,,,,,,
SURYAPET 400 KV,KV KOTA,Suryapet,KV Kota,,,,,,,,,,,,,,,,,,,
SURYAPET 400 KV,KV KOTA,Suryapet,KV Kota,,,,,,,,,,,,,,,,,,,
SURYAPET 400 KV,VTPS-IV,Suryapet,VTPS IV,,,,,,,,,,,,,,,,,,,
SURYAPET 400 KV,VTPS-IV,Suryapet,VTPS IV,,,,,,,,,,,,,,,,,,,
SURYAPET 400 KV,VTPS-IV,Suryapet,VTPS IV,,,,,,,,,,,,,,,,,,,
220 KV TANDUR,220 KV SEDAM,Tandur,Sedam,,,,,,,,,,,,,,,,,,,
220 KV TANDUR,220 KV SEDAM,Tandur,Sedam,,,,,,,,,,,,,,,,,,,
220 KV NAGARJUNA SAGAR,220 KV TALLAPALLY,Nagarjuna Sagar,Tallapally,,,,,,,,,,,,,,,,,,,
220 KV NAGARJUNA SAGAR,220 KV TALLAPALLY,Nagarjuna Sagar,Tallapally,,,,,,,,,,,,,,,,,,,
220 KV NAGARJUNA SAGAR,220 KV TALLAPALLY,Nagarjuna Sagar,Tallapally,,,,,,,,,,,,,,,,,,,
220 KV NAGARJUNA SAGAR,220 KV TALLAPALLY,Nagarjuna Sagar,Tallapally,,,,,,,,,,,,,,,,,,,
220 KV CHALAKURTHY,220 KV TALLAPALLY,Chalakurthy,Tallapally,,,,,,,,,,,,,,,,,,,
220 KV CHALAKURTHY,220 KV TALLAPALLY,Chalakurthy,Tallapally,,,,,,,,,,,,,,,,,,,
ASUPAKA 400 KV,KALAPAKA 400,Asupaka,Kalapaka,,,,,,,,,,,,,,,,,,,
ASUPAKA 400 KV,KALAPAKA 400,Asupaka,Kalapaka,,,,,,,,,,,,,,,,,,,
KTPS Old,Nunna,KTPS,Nunna,,,,,,,,,,,,,,,,,,,
KTPS V,Lower Sileru,KTPS Vr,Lower Sileru,,,,,,,,,,,,,,,,,,,
Aswaraopeta,132 KV Kota,Aswaraopet,KV Kota,,,,,,,,,,,,,,,,,,,
Khammam,Chillakallu,Khammam,Chillakallu,,,,,,,,,,,,,,,,,,,
Kusumanchi,Chillakallu,Kusumanchi,Chillakallu,,,,,,,,,,,,,,,,,,,
Madhira,Chillakallu,Madhira,Chillakallu,,,,,,,,,,,,,,,,,,,
220 KV Pulichinthala,Chillakallu,Pulichinthala,Chillakallu,,,,,,,,,,,,,,,,,,,
132 KV Kodada,Chillakallu,Kodada,Chillakallu,,,,,,,,,,,,,,,,,,,
220 Nagarjuna sagar,220 Srisailam RBPH,Nagarjuna Sagar,Srisailam RBPH,,,,,,,,,,,,,,,,,,,
220 Nagarjuna sagar,220 Srisailam RBPH,Nagarjuna Sagar,Srisailam RBPH,,,,,,,,,,,,,,,,,,,
132 KV Alampur,220 KV AP Carbide,Alampur,AP Carbide,,,,,,,,,,,,,,,,,,,
220 KV Wanaparthy,220 KV B Kothur,Wanaparthy,B Kothur,,,,,,,,,,,,,,,,,,,
132 KV Wadapally,132 KV Piduguralla,Wadapally,Piduguralla,,,,,,,,,,,,,,,,,,,
132 KV Wadapally,132 KV Tangeda,Wadapally,Tangeda,,,,,,,,,,,,,,,,,,,
220 KV Seethapuram,220 KV Chillakallu,Seethapuram,Chillakallu,,,,,,,,,,,,,,,,,,,
Ramapuram,220 KV Chillakallu,Ramapuram,Chillakallu,,,,,,,,,,,,,,,,,,,
Bahour 230,Pondy SCC,Bahour 230,Pondy SCC,,,,,,,,,,,,,,,,,,,
Eripakkam,Pondy SCC,Eripakkam,Thirubuvanai,Villianur 230,Pondy SCC,,,,,,,,,,,,,,,,,
Thirubuvanai,Pondy SCC,Thirubuvanai,Villianur 230,Pondy SCC,,,,,,,,,,,,,,,,,,
Thethampakkam,Pondy SCC,Thethampakkam,Sedharapet,Villianur 230,Pondy SCC,,,,,,,,,,,,,,,,,
Sedharapet,Pondy SCC,Sedharapet,Villianur 230,Pondy SCC,,,,,,,,,,,,,,,,,,
Thondamanatham,Pondy SCC,Thondamanatham,Thirubuvanai,Villianur 230,Pondy SCC,,,,,,,,,,,,,,,,,
Thondamanatham,Pondy SCC,Thondamanatham,Pondy 400,Villianur 230,Pondy SCC,,,,,,,,,,,,,,,,,
Kurumbapet,Pondy SCC,Kurumbapet,Villianur 230,Pondy SCC,,,,,,,,,,,,,,,,,,
Kurumbapet,Pondy SCC,Kurumbapet,Vengata Nagar,Pondy SCC,,,,,,,,,,,,,,,,,,
Kalapet,Pondy SCC,Kalapet,Villianur 230,Pondy SCC,,,,,,,,,,,,,,,,,,
Kalapet,Pondy SCC,Kalapet,Vengata Nagar,Pondy SCC,,,,,,,,,,,,,,,,,,
Marapalam,Pondy SCC,Marapalam,Villianur 230,Pondy SCC,,,,,,,,,,,,,,,,,,
Marapalam,Pondy SCC,Marapalam,Pondy SCC,,,,,,,,,,,,,,,,,,,
Bahour 110  (Under reconfiguration),Pondy SCC,Bahour 110,Korkadu,Villanur 230,Pondy SCC,,,,,,,,,,,,,,,,,
Korkadu,Pondy SCC,Korkadu,Villanur 230,Pondy SCC,,,,,,,,,,,,,,,,,,
Villianur 230,Pondy SCC,Villianur 230,Pondy SCC,,,,,,,,,,,,,,,,,,,
Vengata Nagar,Pondy SCC,Vengata Nagar,Pondy SCC,,,,,,,,,,,,,,,,,,,
Sorakudy (Under reconfiguration),Pondy SCC,Sorakudy,Thiruvarur,Neyveli,Bahour 230 / Pondy 400,Villianur 230,Pondy SCC,,,,,,,,,,,,,,,
Karaikal 230,Pondy SCC,Pillaitheruvasal,Bahour 230 /Pondy 400,Villianur 230,Pondy SCC,,,,,,,,,,,,,,,,,
Pillaitheruvasal,T.R.Pattinam,Pillaitheruvasal,T.R.Pattinam,,,,,,,,,,,,,,,,,,,
T.R.Pattinam  (Under reconfiguration),Pondy SCC,T.R.Pattinam,Thiruvarur,Neyveli,Bahour 230 / Pondy 400,Villianur 230,Pondy SCC,,,,,,,,,,,,,,,
Mettacur (Yanam),Pondy SCC,Mettacur,Kakinada,SRLDC,Villianur 230,Pondy SCC,,,,,,,,,,,,,,,,
Mahe,Pondy SCC,Mahe,Pondy SCC,,,,,,,,,,,,,,,,,,,
