source,destination,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Hassan (stdby),SOMANAHALLI PG-DCPC,"Mysore, Kozikode, Trichuru, Palakad, Udumalpet, Salem, Hosur",,,,,,,,,,,,,,,,,,,,
Kolar HVDC (main),SOMANAHALLI PG-DCPC,"Kolar, Somanahalli",,,,,,,,,,,,,,,,,,,,
Kolar HVDC (stdby),SOMANAHALLI PG-DCPC,"Kolar, Hosur, Somanahalli",,,,,,,,,,,,,,,,,,,,
Kolar HVAC (main),SOMANAHALLI PG-DCPC,"Kolar, Somanahalli",,,,,,,,,,,,,,,,,,,,
Kolar HVAC (stdby),SOMANAHALLI PG-DCPC,"Kolar, Hosur, Somanahalli",,,,,,,,,,,,,,,,,,,,
Pavagada (main),SOMANAHALLI PG-DCPC,"Gooty, Ananthpur, Muddanur, CK pally, Kadapa, Chittor, Sriperambaduru, pondy, Neyveli, Nagapattanam, Dharmapuri, Salem, Hosuru, Somanahalli, SRLDC",,,,,,,,,,,,,,,,,,,,
Pavagada (stdby),SOMANAHALLI PG-DCPC,"Hiriyuru, Nelamangala, Bidadi",,,,,,,,,,,,,,,,,,,,
Hiriyur (main),SOMANAHALLI PG-DCPC,"Hiriyuru, Nelamangala, Bidadi, Somanahalli",,,,,,,,,,,,,,,,,,,,
Hiriyur (stdby),SOMANAHALLI PG-DCPC,"Pavagada, Gooty, Ananthpur, Muddanur, CK pally, Kadapa, Chittor, Sriperambaduru, pondy, Neyveli, Nagapattanam, Dharmapuri, Salem, Hosuru, Somanahalli",,,,,,,,,,,,,,,,,,,,
Yelahanka (main),SOMANAHALLI PG-DCPC,"Yelahanka, Nelamangala, Bidadi, Somanahalli",,,,,,,,,,,,,,,,,,,,
Yelahanka (stdby),SOMANAHALLI PG-DCPC,"Yelahanka, Hoody, Kolar,  Somanahalli",,,,,,,,,,,,,,,,,,,,
Tumkur (main),SOMANAHALLI PG-DCPC,"Tumkuru, Kolar,  Somanahalli",,,,,,,,,,,,,,,,,,,,
Tumkur (stdby,SOMANAHALLI PG-DCPC,"Tumkur, HB halli, Kudgi, Narendra, Davangere, Hiriyur, Nelamangala, Bidadi, Somanahalli",,,,,,,,,,,,,,,,,,,,
Mysore PG (main),SOMANAHALLI PG-DCPC,"Hassan, Nelmangala, Bidadi",,,,,,,,,,,,,,,,,,,,
Mysore PG (stdby),SOMANAHALLI PG-DCPC,"Kozikode, Trichuru, Palakad, Udumalpet, Salem, Hosur",,,,,,,,,,,,,,,,,,,,
Bidadi (main),SOMANAHALLI PG-DCPC,"Bidadi, Somanahalli",,,,,,,,,,,,,,,,,,,,
Bidadi (stdby,SOMANAHALLI PG-DCPC,"Bidadi, NLMGL, Hiriyur, Pavagada, Tumkur, Kolar, Somanahalli",,,,,,,,,,,,,,,,,,,,
Thiruvalam (main),SRIPERAMBDUR PG-DCPC,"Thiruvalam, Chittor, Sriperumbdur",,,,,,,,,,,,,,,,,,,,
Thiruvalam (stdby),SRIPERAMBDUR PG-DCPC,"Thiruvalam, Kolar, Dharmapuri, Nagapattanam, Neyvelli, Pondy, Sriperumbdur",,,,,,,,,,,,,,,,,,,,
